"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 13 17:50:58 JST 2020","Mon Jul 13 17:50:58 JST 2020","4","Gradle suite","Gradle test","TestNG","TestNG","testNGFailure","testNGFailure",""
"passed","Mon Jul 13 17:50:58 JST 2020","Mon Jul 13 17:50:58 JST 2020","13","Gradle suite","Gradle test","TestNG","TestNG","testNG","testNG",""
