"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 11:39:37 JST 2020","Wed Jul 15 11:39:37 JST 2020","63","Flaky suite","testNG","TestNG","TestNG","testNG","testNG",""
"failed","Wed Jul 15 11:39:37 JST 2020","Wed Jul 15 11:39:37 JST 2020","12","Flaky suite","testNG","TestNG","TestNG","testNGFailure","testNGFailure",""
