"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 15 01:57:07 JST 2020","Wed Jul 15 01:57:07 JST 2020","3","","TestNG","","TestNG","","testNGFailure",""
"passed","Wed Jul 15 01:57:07 JST 2020","Wed Jul 15 01:57:07 JST 2020","72","","TestNG","","TestNG","","testNG",""
